                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5441,                 3.9518,                 1.1032,                0.20686,                0.50648,                  0.249,                0.15503,                 1.3445,                  2.195,                 1.0009,             5.9622e-05,             5.9622e-05,             5.9622e-05
                      2,                 1.3364,                 2.2784,                 1.0378,                0.71725,                0.81138,                0.84047,                0.55701,                 1.2067,                 1.1427,                0.96192,             0.00011338,             0.00011338,             0.00011338
                      3,                 1.2937,                 1.5547,                 1.0314,                0.93388,                0.94377,                0.98239,                0.71027,                  1.015,                0.75003,                0.92799,             0.00016124,             0.00016124,             0.00016124
                      4,                 1.2634,                 1.2149,                 1.0299,                0.97984,                0.98047,                 0.9929,                0.69992,                 1.1164,                0.62258,                0.95715,             0.00015242,             0.00015242,             0.00015242
                      5,                 1.2394,                 1.0361,                 1.0259,                0.98823,                0.99072,                0.99439,                0.74206,                0.97464,                0.54558,                0.91807,             0.00015242,             0.00015242,             0.00015242
                      6,                 1.2279,                0.93195,                 1.0236,                0.99459,                0.99511,                0.99485,                0.73453,                0.99097,                0.51861,                0.92232,             0.00014356,             0.00014356,             0.00014356
                      7,                  1.212,                0.85826,                 1.0204,                 0.9955,                0.99739,                0.99494,                 0.7374,                0.99465,                0.48864,                0.92531,              0.0001347,              0.0001347,              0.0001347
                      8,                 1.2035,                0.80823,                 1.0212,                0.99726,                0.99777,                0.99498,                0.75226,                0.95937,                 0.4657,                0.92022,             0.00012584,             0.00012584,             0.00012584
                      9,                  1.197,                0.77279,                 1.0186,                 0.9974,                0.99807,                0.99496,                 0.7624,                0.92089,                0.45128,                0.90477,             0.00011698,             0.00011698,             0.00011698
                     10,                 1.1867,                0.73923,                 1.0165,                0.99658,                0.99799,                0.99497,                0.76135,                0.93121,                0.44153,                0.90777,             0.00010812,             0.00010812,             0.00010812
                     11,                 1.1712,                0.60246,                 1.0636,                 0.9981,                0.99839,                0.99499,                0.77115,                 0.8953,                0.42261,                0.90244,             9.9255e-05,             9.9255e-05,             9.9255e-05
                     12,                 1.1609,                0.57864,                 1.0593,                0.99843,                0.99888,                  0.995,                0.78227,                0.85266,                 0.4126,                0.88795,             9.0395e-05,             9.0395e-05,             9.0395e-05
                     13,                 1.1535,                0.55863,                 1.0586,                0.99861,                0.99946,                  0.995,                0.79263,                0.82665,                0.39737,                0.88434,             8.1534e-05,             8.1534e-05,             8.1534e-05
                     14,                 1.1492,                0.54319,                 1.0585,                0.99838,                0.99916,                  0.995,                0.80423,                0.78769,                0.38978,                0.87437,             7.2674e-05,             7.2674e-05,             7.2674e-05
                     15,                 1.1426,                0.53248,                  1.057,                 0.9987,                0.99891,                  0.995,                0.80068,                0.80291,                0.38636,                0.87542,             6.3813e-05,             6.3813e-05,             6.3813e-05
                     16,                 1.1384,                0.51992,                 1.0553,                0.99869,                0.99903,                0.99498,                0.80713,                0.78595,                0.37698,                0.87205,             5.4953e-05,             5.4953e-05,             5.4953e-05
                     17,                 1.1346,                0.51069,                 1.0563,                 0.9986,                0.99933,                0.99499,                0.80586,                0.79422,                0.37685,                0.87283,             4.6092e-05,             4.6092e-05,             4.6092e-05
                     18,                 1.1292,                0.50413,                 1.0532,                 0.9987,                0.99921,                  0.995,                0.82052,                0.73635,                0.36604,                0.85981,             3.7232e-05,             3.7232e-05,             3.7232e-05
                     19,                  1.124,                0.49279,                 1.0516,                0.99892,                0.99919,                  0.995,                0.81112,                0.77314,                0.37004,                 0.8673,             2.8372e-05,             2.8372e-05,             2.8372e-05
                     20,                 1.1198,                 0.4902,                 1.0509,                0.99893,                0.99936,                  0.995,                0.81858,                0.74969,                0.36372,                 0.8614,             1.9511e-05,             1.9511e-05,             1.9511e-05
